material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Steel - Stainless, Type 347;14.3;1400.0;941.189;30;7;flu;temp;temp;temp;-931.335;424.479;-165.057;406.183
Incoloy;12.0;1390.0;543.044;16;44;flu;flu;flu;temp;2139.158;5522.607;-6538.944;19.396
Zirconium;23.2;1855.0;1459.941;25;11;flu;flu;temp;flu;8324.693;-4403.937;59.691;-7409.435
Monel;26.0;1300.0;1004.398;24;31;flu;temp;flu;temp;6009.535;-72.376;-8521.734;685.556
Copper;401.0;1085.0;101.421;23;18;flu;flu;flu;flu;5877.097;-3905.326;-5105.455;-8060.183
Antimony;25.5;631.0;88.769;39;16;flu;temp;temp;flu;1978.656;-35.0;83.639;-3013.515
Monel;26.0;1300.0;1092.485;2;36;temp;temp;flu;flu;369.189;14.754;-5560.017;-7992.59
Silver;428.0;961.0;604.719;25;8;flu;temp;temp;flu;-3250.945;672.004;846.616;-5874.314
Steel - Chrome, 1% Cr;61.0;1480.0;1218.579;1;9;temp;flu;temp;flu;14.689;-6993.575;591.959;1310.41
Beryllium;218.0;1287.0;-52.036;1;36;temp;flu;flu;temp;25.562;-7498.78;-5801.269;443.462
Plutonium;8.0;639.0;196.039;28;11;flu;temp;temp;temp;761.528;462.753;-50.923;124.694
Rhenium;48.6;3180.0;1652.237;19;41;flu;flu;flu;flu;7092.097;-2104.215;-2016.631;3191.509
Manganese;7.68;1246.0;-108.627;26;39;temp;flu;flu;temp;264.23;-2506.293;3882.915;149.123
Copper - German Silver (Maillechort);24.9;900.0;-39.184;5;30;temp;flu;flu;temp;-167.439;-6042.28;2312.404;741.302
Potassium;104.0;63.5;-102.877;22;2;flu;flu;flu;temp;-7985.206;-3801.645;3766.719;-131.451
Copper - Red Brass;61.0;920.0;863.224;40;4;flu;flu;temp;temp;-5183.39;-1611.175;414.427;208.511
Gold;318.0;1064.0;-29.513;33;2;temp;flu;flu;temp;108.472;3332.621;-4747.5;951.171
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;14.595;11;0;temp;temp;flu;flu;244.351;212.16;1800.273;7673.824
Steel - Nickel, 20% Ni;19.0;1450.0;637.606;4;17;temp;flu;temp;flu;1195.235;9274.684;548.519;9698.549
Steel - Nickel, 20% Ni;19.0;1450.0;452.123;44;3;temp;temp;flu;temp;122.064;180.497;-5445.49;915.601
Tungsten;182.0;3422.0;1284.627;30;23;temp;temp;flu;flu;285.276;2279.915;-1051.469;8520.104
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;352.595;15;44;temp;temp;flu;temp;201.111;-48.244;9601.502;515.798
Beryllium copper 25;80.0;870.0;212.886;29;49;flu;flu;temp;flu;-3230.074;-7896.443;-90.908;-8065.895
Copper;401.0;1085.0;274.33;24;21;flu;temp;temp;temp;-3306.175;1042.964;61.994;807.256
Steel - Stainless, Type 304;14.4;1400.0;-148.042;39;26;temp;temp;flu;temp;1045.876;981.137;9157.943;333.024
Tungsten;182.0;3422.0;2776.049;7;17;flu;temp;temp;flu;8336.242;3196.817;2345.841;-7001.375
Incoloy;12.0;1390.0;901.377;30;18;temp;temp;temp;flu;-179.947;58.993;252.481;-7308.946
Steel - Carbon, 1% C;43.0;1470.0;373.847;17;3;temp;temp;flu;flu;987.18;502.818;3640.304;330.254
Rhodium;151.0;1964.0;1109.134;14;38;temp;flu;flu;flu;1912.874;7760.311;1332.725;3730.494
Aluminum bronze;70.0;1027.0;446.17;9;43;flu;flu;temp;flu;114.672;-9848.311;178.116;4522.737
Aluminum;236.0;660.0;449.291;34;35;temp;flu;flu;flu;649.355;-3144.185;-2005.268;1865.73
Copper;401.0;1085.0;82.81;2;31;flu;temp;flu;flu;-6160.527;293.924;-1899.306;6742.425
Zinc;122.0;419.0;17.967;46;1;temp;temp;temp;temp;212.632;132.046;310.069;-79.474
Rhenium;48.6;3180.0;2160.495;31;18;temp;flu;temp;temp;16.217;4734.092;1930.378;2386.273
Beryllium;218.0;1287.0;1153.144;41;45;flu;flu;temp;temp;4514.26;8880.192;421.163;180.546
Aluminum - Duralumin;164.0;650.0;50.922;5;37;temp;flu;temp;flu;577.03;3339.908;205.004;7267.91
Aluminum alloy 360;150.0;575.0;414.081;15;14;temp;temp;flu;flu;253.988;68.672;2795.02;-8552.669
Steel - Chrome, 1% Cr;61.0;1480.0;421.187;16;16;temp;flu;temp;temp;1252.324;9892.597;950.121;241.904
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;600.158;33;49;flu;temp;temp;temp;6751.628;112.948;797.494;449.769
Hastelloy C;12.0;1390.0;1000.692;25;45;flu;flu;temp;temp;2714.971;-1020.825;870.383;-70.448
Steel - Nickel, 40% Ni;10.0;1450.0;-1.317;30;30;temp;flu;temp;temp;65.99;-1352.102;405.407;1354.913
Steel - Carbon, 1.5% C;36.0;1480.0;-176.352;36;0;temp;flu;temp;flu;637.55;-9765.448;608.32;6383.651
Hafnium;23.3;2233.0;1575.89;31;47;temp;temp;temp;temp;591.249;1552.006;888.347;2161.612
Cobalt;104.0;1495.0;19.982;15;44;temp;temp;temp;flu;466.92;1306.329;540.366;-6164.772
Palladium;75.5;1554.0;1279.086;11;12;flu;temp;temp;temp;-3579.299;740.777;-147.426;463.059
Steel - Nickel, 40% Ni;10.0;1450.0;-131.516;25;46;flu;flu;temp;flu;-1787.504;2871.803;-153.086;1645.112
Cupronickel;29.0;1200.0;20.638;27;24;flu;temp;flu;temp;-4227.329;472.132;-3937.276;449.252
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;421.643;1;8;flu;flu;temp;temp;-6984.441;-5352.583;669.632;726.109
Tin;68.2;232.0;-165.864;7;10;temp;temp;temp;temp;48.957;213.233;103.294;27.118
Cobalt;104.0;1495.0;1133.723;25;42;flu;temp;flu;flu;-9654.929;983.605;-5200.619;-8815.487
Steel - Nickel, 20% Ni;19.0;1450.0;1432.988;47;6;flu;temp;temp;temp;5873.18;1187.252;-188.089;803.603
Tungsten;182.0;3422.0;1587.243;15;42;temp;temp;temp;temp;1601.446;739.386;2967.037;1978.158
Steel - Carbon, 0.5% C;54.0;1460.0;1146.276;43;19;flu;temp;temp;flu;7747.194;362.163;-136.398;-5926.92
Copper - German Silver (Maillechort);24.9;900.0;-116.944;31;32;temp;temp;flu;temp;605.97;533.843;8397.287;330.46
Steel - Tungsten, 1% W;66.0;1450.0;1173.159;19;12;flu;flu;flu;temp;3907.853;5451.451;9147.862;-15.415
Aluminum - Duralumin;164.0;650.0;-56.977;33;24;flu;temp;temp;temp;-5144.519;527.383;448.907;370.951
Steel - Nickel, 40% Ni;10.0;1450.0;284.888;18;31;temp;temp;temp;temp;1420.586;544.486;1084.215;872.916
Solder 50-50;50.0;183.0;-157.265;15;10;temp;temp;flu;temp;63.518;-0.015;-3574.459;69.496
Beryllium;218.0;1287.0;1228.984;2;33;temp;temp;flu;flu;792.608;192.256;-8706.722;-9445.472
Palladium;75.5;1554.0;346.789;41;32;temp;temp;temp;flu;364.789;14.79;866.686;6177.527
Zirconium;23.2;1855.0;773.164;16;5;flu;flu;temp;temp;6806.063;-6862.098;1555.612;1270.512
Aluminum alloy 2014, annealed;190.0;507.0;-184.59;4;0;flu;flu;temp;temp;-2439.97;7732.7;267.45;-46.75
Steel - Nickel, 40% Ni;10.0;1450.0;277.191;41;47;temp;temp;flu;flu;894.363;304.623;1329.88;-3202.178
Steel - Nickel, 20% Ni;19.0;1450.0;-192.272;16;36;temp;flu;temp;flu;242.366;4743.603;524.653;-4824.872
Germanium;66.7;938.0;561.114;27;5;temp;flu;flu;flu;490.89;-8369.251;-867.94;-3638.856
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;-81.577;0;19;flu;flu;temp;flu;-263.382;-265.824;80.683;-6936.003
Aluminum bronze;70.0;1027.0;643.369;12;36;temp;flu;flu;flu;26.352;-6070.062;1869.868;-9340.764
Iridium;148.0;2446.0;1598.236;6;49;temp;temp;flu;flu;356.575;1340.637;480.777;-3655.649
Zirconium;23.2;1855.0;1280.772;18;26;temp;temp;temp;temp;1594.715;954.135;207.851;1602.114
Iron;83.5;1538.0;694.484;29;28;flu;flu;temp;flu;-8274.175;-3192.891;725.701;-9327.446
Steel - Nickel, 60% Ni;19.0;1450.0;542.392;4;42;flu;temp;temp;flu;-15.274;1075.367;215.982;8561.445
Aluminum alloy 3003, rolled;190.0;643.0;111.885;43;2;flu;flu;temp;flu;2578.807;9499.913;395.414;868.478
Nickel;94.0;1455.0;750.652;10;16;flu;temp;flu;flu;9910.45;1364.72;-2519.143;-4543.589
Steel - Chrome, 10% Cr;31.0;1480.0;631.737;31;6;temp;temp;flu;temp;82.211;1427.855;-8510.848;1393.408
Monel;26.0;1300.0;314.54;46;42;flu;flu;flu;temp;8839.734;5790.889;3832.363;228.854
Osmium;61.0;3033.0;634.462;34;5;temp;temp;temp;flu;3014.964;848.567;1937.826;4094.197
Copper - Red Brass;61.0;920.0;-22.392;43;22;flu;temp;temp;flu;1559.815;380.895;878.189;2581.16
Cadmium;97.5;321.0;-127.392;4;29;flu;flu;temp;temp;2810.801;4535.163;243.819;171.265
Steel - Carbon, 0.5% C;54.0;1460.0;626.626;6;43;temp;flu;flu;flu;334.893;-745.029;-1464.975;-304.966
Magnesium alloy AZ31B;100.0;620.0;77.917;48;2;flu;flu;flu;temp;-7472.703;-214.539;-6930.436;540.007
Aluminum alloy 360;150.0;575.0;-20.872;46;20;temp;temp;flu;flu;385.09;2.951;2368.422;-9818.411
Silver;428.0;961.0;-52.085;21;17;flu;temp;flu;flu;7246.164;598.692;-5633.898;-7774.594
Lithium;79.2;180.0;143.273;22;16;flu;temp;temp;temp;-3591.466;-163.178;115.817;76.967
Cobalt;104.0;1495.0;821.646;3;1;temp;temp;temp;flu;431.505;-128.034;326.794;-7563.375
Rubidium;58.3;39.3;-56.148;26;22;temp;temp;temp;temp;-150.424;-48.387;-96.821;-168.475
Steel - Chrome, 10% Cr;31.0;1480.0;1170.172;36;12;temp;temp;flu;temp;830.139;1285.889;1016.085;630.574
Zirconium;23.2;1855.0;830.958;31;15;temp;temp;temp;temp;385.659;1700.88;126.578;762.126
Aluminum;236.0;660.0;350.736;9;40;temp;flu;flu;flu;424.878;3697.011;761.452;4512.458
Solder 50-50;50.0;183.0;-87.01;13;41;temp;temp;temp;flu;-118.462;33.818;-139.008;935.314
Steel - Carbon, 1.5% C;36.0;1480.0;-11.378;32;4;temp;temp;temp;temp;66.623;579.88;1438.232;1200.346
Beryllium copper 25;80.0;870.0;27.608;48;20;temp;flu;flu;temp;820.761;1534.912;-9378.876;757.601
Thorium;42.0;1750.0;1188.981;31;12;temp;temp;temp;flu;680.16;1589.257;1496.396;1052.984
Cadmium;97.5;321.0;-14.518;49;49;temp;flu;flu;temp;59.22;-2605.612;-8882.395;160.318
Osmium;61.0;3033.0;3017.991;44;11;flu;temp;flu;temp;-5234.688;2196.731;-9246.757;236.212
Gold;318.0;1064.0;367.937;9;46;flu;temp;temp;temp;8889.965;606.897;31.586;-22.156
Steel - Stainless, Type 304;14.4;1400.0;915.506;14;38;temp;temp;temp;temp;-43.94;912.693;-171.623;142.32
Hafnium;23.3;2233.0;576.821;19;1;flu;flu;temp;flu;3556.62;-198.986;1501.877;-3815.726
Tungsten;182.0;3422.0;1290.321;37;35;flu;temp;temp;flu;-8144.132;1159.327;1539.775;9011.646
Copper - German Silver (Maillechort);24.9;900.0;447.674;45;48;temp;temp;temp;flu;550.58;881.596;821.838;-130.531
Gold;318.0;1064.0;273.223;42;10;temp;temp;temp;flu;518.443;7.149;-192.563;-2005.629
Copper - Phosphor bronze;50.0;900.0;366.051;15;45;flu;flu;temp;flu;-5906.577;-7789.915;592.561;4704.592
Osmium;61.0;3033.0;308.642;17;5;flu;flu;temp;flu;-3882.495;5201.61;299.571;-5201.56
Steel - Tungsten, 1% W;66.0;1450.0;1284.253;9;23;temp;flu;flu;temp;517.443;-2345.862;7490.084;884.508
Uranium;27.0;1132.0;532.65;15;1;temp;flu;temp;temp;1062.056;-407.894;389.041;430.856
Copper - Red Brass;61.0;920.0;185.632;19;16;flu;temp;temp;flu;-3167.653;62.398;383.637;-7081.956
Rubidium;58.3;39.3;-125.823;0;24;temp;temp;flu;temp;-142.232;-148.167;-2254.332;-66.333
Indium;83.7;157.0;123.056;0;7;flu;temp;flu;temp;-4384.773;-6.512;-624.518;131.495
Hafnium;23.3;2233.0;1443.811;5;20;flu;flu;temp;flu;7692.676;3818.181;1830.124;6145.147
Beryllium copper 25;80.0;870.0;68.018;34;18;flu;flu;temp;flu;-6395.013;-4962.438;567.367;-2204.329
Tungsten;182.0;3422.0;702.225;6;26;flu;temp;temp;temp;1969.169;2984.055;1994.724;1845.991
Titanium;22.4;1668.0;837.828;37;7;flu;flu;temp;flu;6447.859;4635.716;716.191;-9148.253
Rhodium;151.0;1964.0;1910.285;38;34;flu;flu;temp;flu;9080.136;4510.874;262.261;-6032.486
Potassium;104.0;63.5;-33.194;34;12;temp;flu;temp;temp;-104.391;-1215.66;-131.873;-127.877
Zirconium;23.2;1855.0;-160.222;49;49;temp;temp;temp;flu;28.622;254.945;-160.304;-4866.44
Copper - Admiralty Brass;111.0;900.0;-149.757;40;35;temp;flu;temp;flu;301.642;-8565.161;250.945;-6688.144
Cupronickel;29.0;1200.0;951.801;16;44;temp;temp;flu;temp;576.44;833.332;-8786.603;363.59
Copper - Phosphor bronze;50.0;900.0;607.399;17;20;temp;flu;temp;temp;307.213;3616.948;-119.751;663.372
Steel - Nickel, 20% Ni;19.0;1450.0;407.17;11;11;flu;temp;temp;temp;-3306.248;-53.059;250.26;1222.222
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;71.108;49;25;temp;flu;temp;temp;202.738;970.419;1373.867;353.01
Chromium;94.8;1907.0;830.915;34;6;temp;flu;flu;temp;415.636;-3879.799;1924.699;148.101
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;124.263;2;8;temp;temp;flu;flu;834.739;-37.818;9202.429;7378.286
Cadmium;97.5;321.0;-126.635;5;32;temp;flu;temp;temp;-141.784;1286.874;190.715;-50.621
Copper;401.0;1085.0;604.307;26;36;temp;temp;flu;flu;793.52;926.834;1638.19;4535.966
Chromium;94.8;1907.0;824.982;31;6;temp;flu;temp;temp;781.56;-5762.925;1741.948;1223.676
Tantalum;57.4;3017.0;2833.057;28;10;flu;temp;temp;temp;3074.859;1269.514;2138.967;1125.338
Copper - Red Brass;61.0;920.0;84.854;38;13;flu;temp;flu;flu;-8036.304;886.149;4664.898;1770.899
Steel - Chrome, 5% Cr;40.0;1480.0;782.483;1;29;temp;flu;temp;flu;31.501;-9912.549;1225.644;-8723.805
Uranium;27.0;1132.0;526.16;20;33;temp;flu;temp;temp;1035.16;5887.701;447.921;1091.521
Rhodium;151.0;1964.0;1278.993;32;4;temp;temp;temp;temp;414.6;784.925;1456.7;640.453
Copper;401.0;1085.0;216.055;14;6;flu;temp;temp;temp;6165.665;210.376;-13.414;407.852
Steel - Chrome, 5% Cr;40.0;1480.0;726.674;12;6;flu;flu;temp;flu;9783.563;6627.053;87.394;5710.786
Steel - Stainless, Type 304;14.4;1400.0;1333.897;20;19;temp;temp;temp;flu;557.339;685.51;473.65;6955.176
Niobium;53.3;2477.0;1638.256;40;5;temp;temp;temp;flu;-109.841;457.84;2174.661;-2633.037
Iridium;148.0;2446.0;1895.777;36;1;flu;temp;temp;flu;-9305.29;256.272;2012.35;9455.919
Magnesium;157.0;650.0;48.452;15;34;temp;temp;temp;flu;266.756;-161.729;359.542;2515.926
Aluminum - Silumin;164.0;577.0;-183.184;3;27;flu;flu;flu;temp;5085.443;-3281.93;-6121.573;94.52
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;439.243;3;29;flu;temp;temp;temp;-8859.712;-31.965;220.699;677.049
Vanadium;31.3;1910.0;1543.764;23;20;flu;temp;flu;temp;6851.566;683.3;-7397.743;-88.148
Copper - German Silver (Maillechort);24.9;900.0;524.142;42;18;temp;flu;temp;flu;447.956;-3248.289;590.366;5598.431
Selenium;0.52;221.0;-63.966;45;25;temp;temp;temp;temp;-119.88;-122.403;67.079;78.125
Indium;83.7;157.0;107.019;9;12;flu;temp;temp;temp;-8065.471;43.141;13.362;-149.106
Steel - Chrome, 10% Cr;31.0;1480.0;317.394;32;37;temp;flu;flu;flu;1355.483;1162.803;6305.787;3168.311
Steel - Chrome, 5% Cr;40.0;1480.0;1065.564;43;7;flu;temp;flu;flu;354.68;983.302;-5443.726;-5877.943
Copper - German Silver (Maillechort);24.9;900.0;497.905;25;22;flu;temp;temp;temp;-2541.969;466.678;-163.078;277.812
Aluminum alloy 360;150.0;575.0;286.298;20;22;temp;flu;temp;flu;314.522;7789.34;203.579;-6359.202
Monel;26.0;1300.0;1095.739;31;48;flu;temp;temp;temp;-2980.656;425.201;222.144;598.07
Aluminum - Silumin;164.0;577.0;353.068;49;10;temp;flu;flu;temp;526.795;-1496.515;-4536.896;-0.791
Platinum;71.5;1768.0;-186.29;46;26;flu;flu;temp;flu;-233.295;3279.512;1301.588;-8168.153
Germanium;66.7;938.0;-65.147;2;25;temp;temp;flu;temp;-85.502;122.798;-2414.532;241.397
Steel - Hastelloy B;10.0;1390.0;950.141;12;12;temp;temp;flu;temp;951.151;931.549;-396.573;356.591
Chromium;94.8;1907.0;390.406;44;34;temp;flu;flu;flu;773.225;-145.093;4459.843;-882.101
Lithium;79.2;180.0;-139.893;41;22;flu;temp;temp;temp;8521.75;-30.88;149.515;-142.713
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;809.822;45;26;flu;flu;temp;flu;-3387.185;-8852.001;608.476;6035.552
Steel - Nickel, 10% Ni;26.0;1450.0;851.01;2;36;temp;flu;temp;flu;634.237;-3453.288;369.637;4828.45
Titanium;22.4;1668.0;1484.255;1;34;flu;temp;temp;temp;-624.647;-146.762;1113.062;637.057
Aluminum;236.0;660.0;-163.464;29;6;flu;temp;flu;temp;6676.674;-59.277;3455.68;569.715
Zirconium;23.2;1855.0;1607.801;21;36;flu;temp;flu;temp;582.969;981.807;9588.893;1485.302
Aluminum alloy 360;150.0;575.0;-63.39;0;29;flu;flu;flu;flu;-4871.119;-8198.578;9068.534;-8809.198
Uranium;27.0;1132.0;642.56;14;14;flu;temp;flu;temp;-3871.347;804.765;-5078.908;702.557
Monel;26.0;1300.0;-51.37;1;37;temp;flu;temp;temp;774.311;4373.702;602.501;913.966
Thorium;42.0;1750.0;107.46;38;19;temp;flu;flu;temp;1196.962;6516.036;-8832.982;1166.628
Steel - Nickel, 20% Ni;19.0;1450.0;583.14;5;19;temp;flu;flu;temp;819.363;-6013.045;7526.795;561.111
Titanium;22.4;1668.0;419.719;16;16;flu;temp;flu;flu;-2650.86;617.209;3733.517;159.741
Copper - Red Brass;61.0;920.0;70.006;14;36;temp;flu;temp;temp;884.932;-6852.619;771.673;203.619
Silver;428.0;961.0;781.469;26;32;temp;temp;temp;flu;-15.875;787.554;-80.752;-6215.885
Cadmium;97.5;321.0;150.059;14;32;flu;temp;temp;temp;-390.895;-158.246;64.758;52.508
Copper - Cartridge Brass;120.0;920.0;386.049;8;32;flu;temp;temp;flu;-5273.924;246.956;226.131;1953.362
Copper - Red Brass;61.0;920.0;675.804;27;25;temp;temp;flu;flu;-54.984;800.214;-6482.163;-5736.579
Sodium;135.0;97.8;-78.841;0;22;flu;temp;flu;flu;2480.983;46.298;1448.523;-4209.394
Beryllium copper 25;80.0;870.0;-12.733;40;6;temp;temp;flu;flu;543.782;283.5;1851.043;-2963.267
