material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Boron;31.7;2076.0;413.076;45;48;temp;temp;flu;temp;1895.719;549.328;1884.431;991.609
Titanium;22.4;1668.0;837.828;37;7;flu;flu;temp;flu;6447.859;4635.716;716.191;-9148.253
Iron;83.5;1538.0;1443.73;21;22;flu;temp;flu;temp;-8591.371;376.985;-9486.513;44.764
Zirconium;23.2;1855.0;22.583;37;8;temp;temp;temp;temp;-67.163;-6.317;178.43;54.097
Lithium;79.2;180.0;-182.865;7;13;temp;flu;temp;flu;-56.93;847.638;145.851;446.946
Rhodium;151.0;1964.0;588.358;32;21;flu;flu;flu;temp;-4071.814;-5657.494;-2850.538;401.245
Copper - Admiralty Brass;111.0;900.0;738.044;22;33;flu;temp;temp;temp;-9568.331;26.797;390.136;352.604
Copper - Brass (Yellow Brass);111.0;920.0;808.035;27;38;flu;temp;flu;flu;9210.791;208.06;-8073.779;-9163.536
Steel - Manganese, 1% Mn;50.0;1460.0;1000.663;24;22;flu;temp;temp;temp;6556.741;1041.008;119.054;968.378
Platinum;71.5;1768.0;297.611;8;25;flu;flu;flu;flu;-3853.014;7410.878;3917.833;-9578.425
Hafnium;23.3;2233.0;1053.742;39;19;temp;flu;temp;flu;1971.221;1779.659;1619.982;-8798.813
Chromium;94.8;1907.0;844.831;15;2;temp;temp;flu;temp;1623.023;1364.397;-539.825;971.833
Germanium;66.7;938.0;854.797;18;15;flu;temp;flu;temp;1472.615;21.508;6081.878;60.855
Tin;68.2;232.0;117.56;24;47;flu;flu;temp;temp;-6682.034;-3961.077;-53.065;-90.308
Steel - Carbon, 1.5% C;36.0;1480.0;986.662;12;48;temp;flu;temp;temp;135.438;-3591.82;777.797;875.165
Aluminum alloy 360;150.0;575.0;89.608;22;42;flu;temp;temp;temp;-3273.877;74.187;554.094;36.678
Aluminum alloy 360;150.0;575.0;-85.403;46;34;temp;temp;temp;temp;199.262;42.602;140.255;363.885
Copper - Brass (Yellow Brass);111.0;920.0;655.3;14;2;temp;flu;temp;flu;685.471;-9160.394;164.552;7314.782
Antimony;25.5;631.0;246.621;30;45;temp;flu;flu;temp;390.103;2869.947;-2404.308;-53.045
Magnesium alloy AZ31B;100.0;620.0;-146.485;29;18;temp;flu;temp;temp;279.301;-7061.177;241.889;326.174
Cadmium;97.5;321.0;7.604;44;20;flu;temp;temp;flu;-5212.597;16.782;192.994;-5366.83
Aluminum alloy 360;150.0;575.0;196.621;49;20;flu;flu;flu;flu;485.693;-5808.955;-2114.08;3066.71
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;684.298;13;45;flu;flu;temp;temp;2094.911;-1292.921;926.297;30.022
Titanium;22.4;1668.0;1484.255;1;34;flu;temp;temp;temp;-624.647;-146.762;1113.062;637.057
Aluminum - Duralumin;164.0;650.0;556.627;13;16;flu;temp;flu;temp;2942.463;136.065;6097.853;536.392
Aluminum alloy 3003, rolled;190.0;643.0;251.476;27;35;flu;temp;flu;temp;-9321.811;559.349;-792.857;215.16
Cobalt;104.0;1495.0;410.461;41;32;temp;temp;temp;temp;838.476;-80.184;10.993;163.639
Steel - Chrome, 5% Cr;40.0;1480.0;1379.694;32;29;temp;temp;temp;flu;719.441;1012.125;-104.41;-7094.427
Gold;318.0;1064.0;-160.513;28;1;temp;flu;flu;flu;346.16;9151.692;-531.779;-8436.563
Cadmium;97.5;321.0;-76.747;20;48;temp;temp;flu;flu;61.292;107.825;-8913.277;-7688.265
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;439.243;3;29;flu;temp;temp;temp;-8859.712;-31.965;220.699;677.049
Steel - Stainless, Type 304;14.4;1400.0;1264.647;32;44;temp;temp;temp;temp;474.931;150.889;444.537;277.014
Incoloy;12.0;1390.0;901.377;30;18;temp;temp;temp;flu;-179.947;58.993;252.481;-7308.946
Magnesium;157.0;650.0;141.96;26;9;flu;flu;flu;temp;2363.713;-4146.264;623.522;-103.088
Vanadium;31.3;1910.0;-87.294;9;20;flu;temp;temp;flu;7217.046;1019.753;1786.829;-892.893
Potassium;104.0;63.5;-49.164;41;10;temp;temp;temp;temp;-110.252;28.776;-137.759;-56.296
Vanadium;31.3;1910.0;464.702;6;30;temp;flu;temp;flu;1869.802;-1353.455;1195.058;-1874.536
Steel - Nickel, 20% Ni;19.0;1450.0;407.17;11;11;flu;temp;temp;temp;-3306.248;-53.059;250.26;1222.222
Steel - Nickel, 60% Ni;19.0;1450.0;642.495;9;47;temp;flu;temp;flu;-86.093;9461.262;1257.728;-2512.677
Chromium;94.8;1907.0;632.53;35;47;flu;flu;flu;temp;-7038.886;5428.8;2166.974;1069.494
Zirconium;23.2;1855.0;830.958;31;15;temp;temp;temp;temp;385.659;1700.88;126.578;762.126
Steel - Chrome, 1% Cr;61.0;1480.0;1218.579;1;9;temp;flu;temp;flu;14.689;-6993.575;591.959;1310.41
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;1247.958;4;48;temp;temp;temp;flu;390.285;-98.783;324.127;2120.158
Steel - Nickel, 10% Ni;26.0;1450.0;6.836;9;6;flu;temp;flu;temp;-7947.949;1095.138;-6282.063;1182.339
Osmium;61.0;3033.0;1698.228;19;40;flu;temp;temp;temp;-1459.182;1031.352;241.074;1162.256
Incoloy;12.0;1390.0;543.044;16;44;flu;flu;flu;temp;2139.158;5522.607;-6538.944;19.396
Aluminum - Duralumin;164.0;650.0;41.534;45;28;flu;flu;flu;temp;31.068;2302.634;-8004.961;-128.227
Cadmium;97.5;321.0;-126.635;5;32;temp;flu;temp;temp;-141.784;1286.874;190.715;-50.621
Iridium;148.0;2446.0;1640.589;39;41;temp;flu;flu;temp;509.884;8438.911;-8382.18;1455.183
Beryllium copper 25;80.0;870.0;-12.733;40;6;temp;temp;flu;flu;543.782;283.5;1851.043;-2963.267
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;352.595;15;44;temp;temp;flu;temp;201.111;-48.244;9601.502;515.798
Copper - Red Brass;61.0;920.0;672.418;10;12;flu;flu;temp;temp;8819.875;-1528.999;544.335;-131.372
Steel - Nickel, 20% Ni;19.0;1450.0;1432.988;47;6;flu;temp;temp;temp;5873.18;1187.252;-188.089;803.603
Beryllium;218.0;1287.0;1228.984;2;33;temp;temp;flu;flu;792.608;192.256;-8706.722;-9445.472
Aluminum - Silumin;164.0;577.0;483.077;3;15;flu;temp;temp;flu;-5763.585;52.95;426.459;3351.845
Aluminum alloy 3003, rolled;190.0;643.0;-123.174;26;4;flu;flu;temp;flu;-1244.5;2504.085;-44.409;314.551
Platinum;71.5;1768.0;1473.452;2;4;flu;temp;flu;temp;-128.634;-23.307;-7047.526;1713.836
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;495.986;46;31;temp;flu;flu;temp;1043.044;8448.564;1260.443;404.045
Copper - German Silver (Maillechort);24.9;900.0;217.293;10;38;temp;temp;temp;flu;-161.978;-3.428;-4.209;-1179.853
Nickel;94.0;1455.0;1091.937;41;35;temp;flu;flu;temp;81.056;-998.118;-9856.806;1350.826
Chromium;94.8;1907.0;1367.203;6;20;flu;temp;flu;flu;789.2;1528.144;4564.12;-2430.574
Steel - Carbon, 1% C;43.0;1470.0;623.979;28;29;flu;flu;flu;temp;-6399.471;-2118.611;7010.064;762.997
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;442.61;44;32;flu;flu;temp;temp;-4446.754;-5256.372;372.036;315.659
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;771.218;38;24;temp;flu;temp;temp;-131.489;7425.936;121.204;902.653
Cobalt;104.0;1495.0;1133.723;25;42;flu;temp;flu;flu;-9654.929;983.605;-5200.619;-8815.487
Steel - Nickel, 20% Ni;19.0;1450.0;583.14;5;19;temp;flu;flu;temp;819.363;-6013.045;7526.795;561.111
Tungsten;182.0;3422.0;1276.327;43;15;flu;temp;temp;temp;-6796.973;762.981;1715.855;2617.708
Magnesium;157.0;650.0;243.597;26;10;temp;temp;flu;temp;279.691;345.484;9766.273;97.805
Palladium;75.5;1554.0;1362.953;36;22;temp;temp;temp;flu;188.54;986.913;1304.074;9794.799
Magnesium alloy AZ31B;100.0;620.0;-15.605;11;23;temp;flu;temp;temp;599.684;4714.454;523.862;-39.271
Iridium;148.0;2446.0;504.626;37;7;temp;temp;flu;temp;543.543;2094.839;7090.015;276.796
Zinc;122.0;419.0;-32.251;42;34;flu;flu;temp;temp;6026.617;2885.619;235.402;211.174
Cadmium;97.5;321.0;-127.392;4;29;flu;flu;temp;temp;2810.801;4535.163;243.819;171.265
Molybdenum;139.0;2623.0;624.234;2;42;flu;flu;flu;flu;1864.541;8660.822;147.472;4794.616
Aluminum alloy 3003, rolled;190.0;643.0;544.08;10;29;flu;temp;flu;flu;9610.196;459.016;1753.873;7772.824
Gold;318.0;1064.0;161.178;46;25;flu;flu;temp;temp;2015.589;2664.89;905.592;112.016
Nickel;94.0;1455.0;1025.203;12;40;temp;temp;temp;temp;1162.757;612.664;217.302;506.814
Chromium;94.8;1907.0;141.697;45;12;flu;flu;flu;temp;303.166;5937.795;9280.305;958.315
Cobalt;104.0;1495.0;-135.482;13;48;flu;flu;temp;flu;9207.864;777.204;1480.734;2078.275
Thorium;42.0;1750.0;1008.047;3;19;temp;temp;temp;flu;238.137;1298.079;1668.449;-4391.135
Lithium;79.2;180.0;45.025;10;13;temp;flu;temp;temp;-51.444;8155.226;-90.96;-96.367
Vanadium;31.3;1910.0;51.4;8;1;temp;flu;flu;flu;988.036;7485.687;6868.222;7171.46
Silver;428.0;961.0;-144.336;26;13;temp;temp;flu;temp;268.146;497.485;-8939.18;-65.69
Hastelloy C;12.0;1390.0;827.492;33;43;flu;flu;temp;temp;-1747.449;530.761;28.67;906.131
Palladium;75.5;1554.0;1397.619;0;26;temp;flu;temp;temp;1525.656;-7999.988;790.442;1140.542
Steel - Nickel, 60% Ni;19.0;1450.0;1339.287;30;21;temp;temp;temp;flu;911.555;311.444;28.916;-8164.411
Steel - Chrome, 5% Cr;40.0;1480.0;126.25;27;0;temp;temp;temp;temp;730.239;959.589;-83.208;197.384
Aluminum alloy 360;150.0;575.0;310.168;20;48;flu;flu;temp;flu;4552.852;5988.874;70.17;1424.471
Rhodium;151.0;1964.0;1278.993;32;4;temp;temp;temp;temp;414.6;784.925;1456.7;640.453
Magnesium;157.0;650.0;-95.561;22;7;flu;temp;flu;temp;7575.694;574.325;-6346.922;-26.259
Zinc;122.0;419.0;79.108;26;7;flu;flu;temp;flu;4652.074;8943.736;-104.903;583.834
Steel - Nickel, 40% Ni;10.0;1450.0;-1.317;30;30;temp;flu;temp;temp;65.99;-1352.102;405.407;1354.913
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;826.635;26;19;flu;flu;flu;flu;427.407;-9161.521;3705.006;-6225.407
Copper - Admiralty Brass;111.0;900.0;11.157;19;31;flu;temp;flu;flu;-462.586;272.342;1271.366;350.538
Aluminum - Duralumin;164.0;650.0;-167.135;2;22;temp;flu;flu;temp;-148.151;8956.915;7456.016;615.113
Rhenium;48.6;3180.0;2160.495;31;18;temp;flu;temp;temp;16.217;4734.092;1930.378;2386.273
Uranium;27.0;1132.0;55.887;22;41;temp;temp;flu;temp;928.548;-110.746;-4672.763;984.744
Aluminum alloy 360;150.0;575.0;207.136;44;32;flu;temp;flu;temp;-6520.58;408.108;4008.975;-70.911
Niobium;53.3;2477.0;2268.255;47;38;temp;temp;flu;temp;265.441;2087.392;5833.775;-8.306
Indium;83.7;157.0;42.034;17;46;flu;flu;temp;temp;-3765.001;-9570.153;-104.775;42.747
Potassium;104.0;63.5;-33.194;34;12;temp;flu;temp;temp;-104.391;-1215.66;-131.873;-127.877
Beryllium;218.0;1287.0;1233.646;14;8;temp;temp;flu;flu;676.294;553.345;-1481.868;-8683.985
Steel - Carbon, 1% C;43.0;1470.0;734.575;17;34;temp;flu;flu;temp;912.555;-1877.587;-8375.036;-4.586
Tantalum;57.4;3017.0;1563.438;45;31;temp;temp;temp;temp;2129.782;2444.61;2409.66;92.362
Rhenium;48.6;3180.0;1361.285;39;12;temp;temp;flu;flu;1811.102;2496.589;-5579.031;2019.876
Lithium;79.2;180.0;143.273;22;16;flu;temp;temp;temp;-3591.466;-163.178;115.817;76.967
Solder 50-50;50.0;183.0;-157.265;15;10;temp;temp;flu;temp;63.518;-0.015;-3574.459;69.496
Steel - Stainless, Type 347;14.3;1400.0;102.49;9;39;temp;flu;flu;temp;122.923;-5335.424;7483.613;290.183
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;8.944;14;20;temp;temp;flu;temp;165.128;366.349;-9894.969;1093.113
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;71.108;49;25;temp;flu;temp;temp;202.738;970.419;1373.867;353.01
Aluminum - Silumin;164.0;577.0;539.784;37;20;temp;flu;flu;flu;25.535;9534.077;4219.276;794.389
Niobium;53.3;2477.0;1400.785;28;40;temp;flu;flu;flu;960.932;9733.276;211.179;-8377.375
Tin;68.2;232.0;-155.014;18;12;flu;temp;flu;flu;-4119.651;206.863;-8197.882;60.153
Rubidium;58.3;39.3;-3.709;40;42;flu;flu;temp;flu;1383.39;472.94;-67.233;-1055.302
Osmium;61.0;3033.0;2193.689;49;27;flu;flu;flu;flu;3069.978;-5520.08;-5418.238;-9386.092
Cobalt;104.0;1495.0;471.81;23;4;temp;temp;temp;flu;511.883;1432.823;1185.656;-5869.632
Copper;401.0;1085.0;729.606;37;46;temp;flu;flu;temp;339.367;-9133.717;-2589.684;716.76
Osmium;61.0;3033.0;2620.474;17;47;temp;temp;flu;flu;2208.647;824.591;-9657.913;6929.574
Osmium;61.0;3033.0;634.462;34;5;temp;temp;temp;flu;3014.964;848.567;1937.826;4094.197
Aluminum alloy 360;150.0;575.0;-95.803;46;10;flu;temp;temp;flu;-3183.867;-31.168;236.559;-1104.388
Monel;26.0;1300.0;314.54;46;42;flu;flu;flu;temp;8839.734;5790.889;3832.363;228.854
Zinc;122.0;419.0;-131.18;12;12;temp;temp;flu;flu;97.345;397.933;-4222.46;6943.727
Copper - Brass (Yellow Brass);111.0;920.0;-3.426;40;4;flu;temp;temp;temp;2890.32;847.312;40.872;417.11
Lead;35.5;327.0;161.544;41;39;temp;temp;temp;flu;-68.244;-114.344;53.435;-68.711
Steel - Nickel, 60% Ni;19.0;1450.0;1024.439;13;32;temp;flu;flu;temp;144.511;9640.284;-6702.359;731.623
Rubidium;58.3;39.3;-125.823;0;24;temp;temp;flu;temp;-142.232;-148.167;-2254.332;-66.333
Copper - Cartridge Brass;120.0;920.0;-48.255;35;27;flu;temp;temp;temp;-3108.765;432.434;222.677;-115.571
Steel - Manganese, 1% Mn;50.0;1460.0;997.643;38;7;temp;temp;flu;flu;652.832;749.214;1720.889;8543.523
Thorium;42.0;1750.0;1395.682;7;21;temp;flu;flu;temp;1512.523;-9288.256;9113.348;556.365
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;256.718;44;24;flu;flu;flu;temp;993.874;2275.759;486.715;117.529
Steel - Carbon, 1% C;43.0;1470.0;849.153;16;17;flu;temp;flu;temp;6682.566;442.699;-5852.119;710.146
Magnesium;157.0;650.0;287.864;18;33;temp;flu;flu;flu;540.044;-7587.906;-8478.029;5076.919
Copper - German Silver (Maillechort);24.9;900.0;99.362;20;4;flu;temp;flu;temp;-1512.509;-170.177;-4363.647;246.851
Steel - Carbon, 1% C;43.0;1470.0;263.078;19;38;flu;temp;temp;flu;-9595.347;34.552;40.592;145.765
Steel - Nickel, 10% Ni;26.0;1450.0;553.14;6;28;temp;flu;flu;temp;748.023;7421.076;1000.874;321.852
Tantalum;57.4;3017.0;2211.724;43;46;temp;flu;flu;flu;2815.376;2841.973;1765.946;-9483.456
Aluminum - Silumin;164.0;577.0;-172.844;33;26;flu;temp;temp;temp;-3842.356;362.227;315.939;19.13
Steel - Tungsten, 1% W;66.0;1450.0;1284.253;9;23;temp;flu;flu;temp;517.443;-2345.862;7490.084;884.508
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;-164.39;13;11;temp;temp;flu;flu;643.026;914.272;-1452.437;3817.358
Beryllium copper 25;80.0;870.0;68.018;34;18;flu;flu;temp;flu;-6395.013;-4962.438;567.367;-2204.329
Steel - Stainless, Type 347;14.3;1400.0;738.877;30;47;temp;temp;flu;temp;1027.358;-121.785;4670.486;1106.056
Steel - Chrome, 1% Cr;61.0;1480.0;1233.226;22;8;temp;temp;temp;flu;1315.665;-34.966;27.698;8361.225
Chromium;94.8;1907.0;1468.418;2;29;temp;flu;temp;flu;86.58;-4684.401;1671.249;-2437.472
Gold;318.0;1064.0;112.048;11;15;temp;temp;flu;temp;180.5;315.994;9924.699;308.901
Osmium;61.0;3033.0;1886.326;5;47;flu;flu;flu;temp;-8288.35;-8599.75;9967.614;470.231
Steel - Tungsten, 1% W;66.0;1450.0;640.247;35;30;flu;flu;flu;temp;-4413.4;-7806.092;3614.171;642.029
Aluminum alloy 2014, annealed;190.0;507.0;178.895;48;40;flu;flu;temp;flu;-7454.69;4883.283;399.584;7778.114
Aluminum;236.0;660.0;350.736;9;40;temp;flu;flu;flu;424.878;3697.011;761.452;4512.458
Palladium;75.5;1554.0;346.789;41;32;temp;temp;temp;flu;364.789;14.79;866.686;6177.527
Hafnium;23.3;2233.0;33.291;13;9;temp;temp;temp;temp;1127.64;1431.114;509.689;1018.754
Cadmium;97.5;321.0;166.344;44;21;temp;flu;temp;temp;66.193;8226.158;90.567;-164.898
Beryllium copper 25;80.0;870.0;281.363;8;38;temp;flu;flu;temp;45.002;6794.676;-1943.824;717.54
Tin;68.2;232.0;100.895;39;4;temp;temp;flu;temp;-55.797;-35.582;-3051.081;199.632
Cupronickel;29.0;1200.0;1050.027;13;27;temp;temp;temp;flu;613.122;381.912;1.902;364.582
Cupronickel;29.0;1200.0;20.638;27;24;flu;temp;flu;temp;-4227.329;472.132;-3937.276;449.252
Lithium;79.2;180.0;-117.438;6;41;temp;temp;temp;flu;92.093;46.493;-98.436;-4098.521
Indium;83.7;157.0;123.056;0;7;flu;temp;flu;temp;-4384.773;-6.512;-624.518;131.495
Niobium;53.3;2477.0;1318.193;35;12;temp;temp;temp;temp;1918.099;1556.17;2047.82;1815.194
Boron;31.7;2076.0;1061.914;38;19;flu;temp;temp;flu;-8901.085;1868.125;334.055;3011.371
Iridium;148.0;2446.0;530.045;21;11;temp;temp;temp;flu;2370.191;948.936;956.654;1310.048
Incoloy;12.0;1390.0;770.102;36;30;temp;temp;flu;flu;1325.912;772.891;-8101.205;-2118.973
Aluminum;236.0;660.0;-163.464;29;6;flu;temp;flu;temp;6676.674;-59.277;3455.68;569.715
