material;k;T_fusion;T_hp;i_hp;j_hp;tipo_A;tipo_B;tipo_C;tipo_D;valor_A;valor_B;valor_C;valor_D
Silicon;168.0;1414.0;1157.879;21;1;temp;flu;temp;flu;165.933;7596.353;547.986;-9142.866
Rhodium;151.0;1964.0;762.046;19;30;flu;flu;temp;flu;3242.999;4847.092;855.919;-4356.511
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;94.106;34;16;temp;temp;flu;temp;-173.676;181.057;-2066.666;827.97
Hafnium;23.3;2233.0;206.586;24;20;flu;temp;temp;flu;-5060.387;1547.749;-176.438;-9504.028
Copper - Phosphor bronze;50.0;900.0;741.554;13;37;temp;temp;flu;temp;800.678;259.467;7821.037;-144.244
Beryllium copper 25;80.0;870.0;-16.027;9;20;temp;flu;temp;temp;233.189;-6964.409;120.866;350.628
Steel - Stainless, Type 347;14.3;1400.0;633.671;19;13;temp;flu;flu;temp;1110.018;9686.371;-209.743;822.514
Rhodium;151.0;1964.0;455.262;31;28;temp;flu;temp;temp;497.372;2582.772;909.8;629.961
Steel - Nickel, 60% Ni;19.0;1450.0;-183.645;5;21;flu;temp;flu;flu;-2601.569;1009.88;-2975.14;3288.98
Rubidium;58.3;39.3;-65.378;40;3;temp;flu;flu;temp;-9.541;1304.649;-2276.509;-25.369
Magnesium;157.0;650.0;115.199;43;49;flu;temp;flu;temp;3143.715;-32.229;2638.24;184.469
Cesium;36.1;28.5;-97.834;45;44;flu;flu;flu;flu;173.541;-5927.894;2196.091;4026.635
Molybdenum;139.0;2623.0;338.505;37;36;flu;flu;flu;flu;3379.116;8613.294;2344.597;9088.201
Steel - Stainless, Type 347;14.3;1400.0;1280.973;40;48;flu;temp;flu;temp;3263.627;1069.392;-4284.607;357.513
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;-169.197;49;10;temp;temp;flu;temp;773.501;978.626;-5415.032;397.26
Steel - Nickel, 10% Ni;26.0;1450.0;171.914;44;44;temp;flu;flu;temp;391.402;-8959.111;2753.195;1103.147
Rhodium;151.0;1964.0;1932.226;12;46;flu;temp;flu;flu;1209.814;756.425;-1236.362;431.819
Steel - Chrome, 10% Cr;31.0;1480.0;763.519;26;45;flu;temp;flu;temp;-9395.041;1150.952;1927.156;6.984
Aluminum;236.0;660.0;43.427;43;19;flu;flu;temp;temp;4320.606;-8126.666;173.281;482.869
Steel - Carbon, 0.5% C;54.0;1460.0;599.122;41;22;temp;flu;temp;temp;1259.571;-3232.657;1369.459;274.262
Copper - Admiralty Brass;111.0;900.0;612.216;43;24;flu;flu;flu;flu;-3471.77;-6984.668;5908.991;-6071.894
Rhenium;48.6;3180.0;2321.998;0;38;temp;flu;flu;flu;-94.076;-5092.442;3278.005;9870.286
Indium;83.7;157.0;46.316;37;48;temp;temp;temp;temp;41.885;38.477;135.746;36.159
Aluminum alloy 3003, rolled;190.0;643.0;85.653;2;36;flu;temp;flu;flu;-6113.461;459.067;4339.778;-659.953
Cobalt;104.0;1495.0;925.032;33;29;temp;temp;temp;temp;1139.731;405.285;911.571;-6.449
Beryllium;218.0;1287.0;663.695;9;41;temp;flu;flu;temp;477.078;-5703.585;8091.051;541.432
Plutonium;8.0;639.0;515.003;6;33;flu;flu;flu;flu;856.096;9789.597;-7188.963;-5156.686
Potassium;104.0;63.5;-0.51;30;29;temp;flu;temp;flu;-70.492;9647.739;-78.167;8455.345
Steel - Chrome, 1% Cr;61.0;1480.0;83.173;6;22;temp;flu;flu;flu;40.198;1756.724;1048.238;8552.742
Steel - Nickel, 20% Ni;19.0;1450.0;-182.792;49;25;flu;temp;flu;flu;9739.361;1165.725;-5343.758;-5533.859
Steel - Carbon, 0.5% C;54.0;1460.0;827.278;29;43;flu;temp;flu;temp;6167.654;450.907;-9891.481;322.67
Beryllium copper 25;80.0;870.0;738.375;40;24;temp;flu;flu;temp;267.878;9503.478;9236.783;785.652
Steel - Carbon, 1% C;43.0;1470.0;1276.811;1;3;temp;temp;flu;temp;524.263;207.136;-8980.688;583.228
Potassium;104.0;63.5;-53.332;24;47;temp;temp;temp;temp;-0.083;-134.826;47.085;-113.426
Selenium;0.52;221.0;-185.977;7;23;flu;temp;flu;flu;-7859.206;-188.25;2625.347;-9523.123
Aluminum alloy 3003, rolled;190.0;643.0;6.603;30;33;temp;flu;temp;temp;346.703;-3503.343;134.305;-85.036
Copper - Phosphor bronze;50.0;900.0;-104.425;11;7;temp;flu;temp;temp;520.778;-6585.824;132.758;-59.596
Steel - Nickel, 20% Ni;19.0;1450.0;284.803;10;14;flu;temp;temp;temp;8961.864;-173.682;1197.233;1374.15
Steel - Carbon, 1% C;43.0;1470.0;1380.066;0;29;temp;flu;flu;flu;1081.662;4410.976;3093.325;5343.236
Manganese;7.68;1246.0;885.623;12;5;temp;temp;temp;temp;1055.82;1083.972;352.73;383.766
Sodium;135.0;97.8;-46.904;19;16;flu;flu;flu;temp;1762.443;8174.751;9915.731;47.873
Magnesium;157.0;650.0;514.692;28;23;temp;flu;flu;flu;625.301;-146.484;9324.027;-1263.288
Beryllium;218.0;1287.0;390.762;11;16;temp;flu;temp;temp;1015.159;6949.022;-136.267;103.7
Boron;31.7;2076.0;1349.413;40;1;temp;flu;flu;temp;749.051;-7414.654;-6395.456;1807.941
Zirconium;23.2;1855.0;-98.467;22;10;flu;flu;temp;flu;-3742.424;2201.003;101.905;-6507.3
Palladium;75.5;1554.0;778.564;33;3;temp;flu;flu;temp;1396.477;-3390.336;1571.802;37.602
Incoloy;12.0;1390.0;207.637;23;10;flu;flu;flu;flu;8047.558;9258.973;5730.557;7564.661
Iridium;148.0;2446.0;326.09;10;19;flu;flu;flu;flu;9833.3;-5691.412;-9018.316;-9448.707
Nickel;94.0;1455.0;639.107;8;21;temp;flu;flu;flu;1071.416;-3822.089;-4476.174;-7907.623
Inconel;15.0;1390.0;-50.598;47;13;flu;flu;temp;flu;-9823.795;3698.759;1246.0;2971.46
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;1342.436;33;31;temp;flu;temp;temp;812.106;-9088.06;138.981;741.464
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;1160.97;25;31;flu;flu;temp;temp;-775.727;-6821.238;679.437;431.427
Monel;26.0;1300.0;212.062;12;21;flu;temp;flu;temp;1669.046;275.05;-5369.036;459.045
Indium;83.7;157.0;-51.633;12;49;temp;temp;temp;flu;-129.841;-97.823;-95.217;-4228.462
Lead;35.5;327.0;48.988;26;47;temp;temp;flu;temp;278.486;161.076;3076.689;277.11
Lead;35.5;327.0;-186.827;29;3;flu;flu;flu;temp;-1960.072;5329.29;739.939;6.819
Beryllium;218.0;1287.0;659.229;26;43;flu;flu;flu;temp;-5981.808;7378.445;4262.108;426.388
Copper - Brass (Yellow Brass);111.0;920.0;613.149;35;24;flu;temp;flu;temp;5904.792;704.847;5172.115;450.471
Germanium;66.7;938.0;710.752;41;38;flu;flu;temp;flu;2856.143;5086.881;641.345;-9961.336
Beryllium copper 25;80.0;870.0;701.063;8;47;temp;flu;flu;temp;-71.699;6428.624;-8148.539;544.545
Cupronickel;29.0;1200.0;269.877;0;12;temp;flu;temp;temp;267.745;663.546;-112.334;817.942
Aluminum - Duralumin;164.0;650.0;197.566;26;10;flu;flu;temp;temp;-5169.106;677.503;264.079;192.217
Gold;318.0;1064.0;655.966;18;44;flu;temp;flu;flu;-9958.014;808.378;8052.249;9269.494
Boron;31.7;2076.0;1743.836;39;32;flu;flu;flu;flu;-3400.917;9822.455;9204.61;7350.632
Mercury;28.9;-39.0;-57.105;33;22;temp;temp;flu;flu;-71.493;-89.789;7479.115;-9825.381
Monel;26.0;1300.0;136.769;40;6;temp;temp;temp;flu;138.875;368.872;1003.747;6682.319
Steel - Stainless, Type 304;14.4;1400.0;1046.895;33;16;flu;flu;temp;temp;-4331.428;-8032.353;1112.218;832.638
Steel - Manganese, 1% Mn;50.0;1460.0;692.553;21;47;flu;flu;flu;temp;5856.118;8431.551;-4019.01;1397.447
Niobium;53.3;2477.0;461.049;13;11;temp;flu;temp;flu;2387.542;-8385.327;847.61;5785.2
Molybdenum;139.0;2623.0;2560.077;39;9;flu;flu;temp;flu;6968.938;7558.311;514.045;-8219.391
Gold;318.0;1064.0;577.754;26;3;temp;flu;temp;flu;-69.525;-6871.503;910.466;-5929.449
Zinc;122.0;419.0;14.026;37;45;flu;temp;flu;temp;9903.159;35.567;-4718.867;318.85
Vanadium;31.3;1910.0;1154.052;35;45;temp;flu;temp;flu;542.486;-4892.53;1179.197;-1170.524
Vanadium;31.3;1910.0;-26.781;6;18;temp;temp;temp;flu;1664.724;1062.509;1892.478;5038.276
Cupronickel;29.0;1200.0;928.628;11;4;flu;temp;temp;temp;-6204.688;-127.012;1125.87;99.851
Steel - Carbon, 1.5% C;36.0;1480.0;392.183;27;18;temp;flu;flu;flu;725.85;8888.784;-4499.259;2505.254
Steel - Carbon, 1.5% C;36.0;1480.0;1390.836;48;10;flu;flu;flu;temp;8530.191;-5742.425;4183.037;1085.503
Plutonium;8.0;639.0;-49.341;42;24;temp;temp;flu;temp;-165.361;591.909;5557.904;-185.977
Bismuth;8.2;271.0;-59.097;48;4;flu;flu;temp;flu;3306.36;-3610.164;34.736;605.702
Steel - Nickel, 10% Ni;26.0;1450.0;1043.83;40;10;flu;temp;flu;flu;1392.261;1157.382;-179.721;3531.973
Incoloy;12.0;1390.0;515.457;25;38;flu;temp;temp;temp;8894.271;280.162;596.835;317.496
Indium;83.7;157.0;-73.987;18;27;temp;flu;temp;flu;62.533;8053.746;25.549;6523.753
Magnesium alloy AZ31B;100.0;620.0;485.083;1;23;flu;temp;temp;flu;-9163.987;519.866;-42.674;-3145.739
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;77.292;42;19;temp;flu;temp;temp;948.686;-1476.532;-132.716;-13.349
Iridium;148.0;2446.0;2039.226;38;18;flu;temp;temp;temp;8012.701;1698.925;2379.374;427.117
Cobalt;104.0;1495.0;1093.718;17;25;flu;temp;flu;temp;8502.506;147.977;-9686.234;394.477
Zirconium;23.2;1855.0;527.678;36;44;flu;flu;temp;flu;-5588.944;9908.41;1747.708;349.685
Titanium;22.4;1668.0;936.288;48;34;flu;flu;flu;temp;-2535.518;7473.434;8208.957;1506.267
Aluminum bronze;70.0;1027.0;1007.653;3;45;temp;flu;temp;flu;936.863;-9498.241;859.213;-3290.015
Potassium;104.0;63.5;-51.979;13;7;flu;flu;flu;flu;-1237.251;8821.164;-1097.763;-6590.801
Osmium;61.0;3033.0;1393.726;44;5;temp;flu;temp;temp;2052.024;-5421.308;2195.562;577.99
Sodium;135.0;97.8;-24.837;19;6;flu;flu;temp;temp;5735.937;-7872.988;-52.026;32.204
Steel - Nickel, 10% Ni;26.0;1450.0;76.425;1;1;temp;temp;flu;flu;1216.219;1009.511;-1853.363;8648.828
Solder 50-50;50.0;183.0;-10.226;1;13;temp;flu;flu;temp;2.012;-5434.621;-7241.326;-152.321
Beryllium;218.0;1287.0;367.937;39;19;flu;flu;flu;temp;8205.862;7471.724;-24.852;249.686
Steel - Carbon, 1% C;43.0;1470.0;-167.329;0;22;flu;flu;temp;flu;-1257.044;-9085.708;724.772;-2380.165
Rubidium;58.3;39.3;-57.017;27;12;temp;flu;temp;temp;-3.978;-6752.713;18.32;28.151
Cadmium;97.5;321.0;255.251;21;15;flu;flu;flu;flu;1897.366;-1617.515;-4072.549;9979.527
Germanium;66.7;938.0;338.42;13;42;temp;flu;temp;temp;147.624;5122.908;514.689;775.377
Gold;318.0;1064.0;1040.116;41;1;flu;temp;flu;flu;-6087.609;751.266;1240.689;3048.039
Mercury;28.9;-39.0;-72.383;14;48;flu;flu;temp;temp;-3310.375;4124.27;-92.757;-176.495
Hastelloy C;12.0;1390.0;41.167;30;23;flu;temp;flu;temp;-5444.997;1259.212;-3419.152;366.906
Thorium;42.0;1750.0;556.211;21;43;temp;flu;temp;flu;535.908;-2275.863;1021.701;6254.515
Copper;401.0;1085.0;1029.945;11;27;flu;temp;temp;temp;2986.101;231.598;595.334;1074.942
Rhodium;151.0;1964.0;1943.059;7;6;temp;flu;flu;flu;-176.93;-3285.315;-7311.56;-8065.821
Aluminum bronze;70.0;1027.0;738.65;16;47;temp;flu;flu;temp;326.937;1778.635;-3717.901;-142.875
Steel - Tungsten, 1% W;66.0;1450.0;1.737;3;37;temp;temp;flu;temp;941.258;230.579;-9755.794;876.2
Selenium;0.52;221.0;-60.229;44;47;flu;temp;temp;flu;256.239;16.069;-65.919;4195.44
Copper;401.0;1085.0;889.354;5;43;temp;flu;flu;flu;42.325;9640.026;3244.639;8762.449
Aluminum alloy 360;150.0;575.0;-53.604;2;36;temp;temp;temp;temp;-116.393;182.921;503.91;185.853
Aluminum - Silumin;164.0;577.0;172.448;22;21;temp;flu;flu;temp;478.293;-8910.328;861.426;548.088
Beryllium;218.0;1287.0;233.804;18;27;flu;temp;flu;temp;8290.4;-109.404;-460.352;1266.491
Steel - Chrome, 5% Cr;40.0;1480.0;732.369;31;14;temp;flu;flu;temp;891.383;9833.773;-828.422;1230.333
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;-95.579;34;46;temp;temp;flu;temp;474.375;578.147;-6416.861;-97.193
Plutonium;8.0;639.0;468.92;19;12;temp;flu;temp;temp;381.819;4959.899;-175.578;-2.388
Palladium;75.5;1554.0;1088.189;7;49;flu;flu;flu;flu;4786.834;9245.119;-2149.777;-975.403
Monel;26.0;1300.0;569.089;8;10;temp;temp;flu;temp;707.939;355.049;-9022.431;625.151
Sodium;135.0;97.8;-139.423;33;12;flu;temp;temp;temp;-963.834;2.497;49.787;-182.2
Steel - Nickel, 60% Ni;19.0;1450.0;1274.219;29;48;temp;flu;temp;flu;1048.399;-7376.345;1003.729;9917.312
Zinc;122.0;419.0;-165.569;34;47;temp;temp;temp;temp;27.907;-58.299;-184.332;180.044
Inconel;15.0;1390.0;166.129;9;28;temp;temp;flu;flu;383.112;1119.577;5361.697;-6240.006
Beryllium copper 25;80.0;870.0;69.275;42;7;temp;temp;flu;flu;53.595;-27.963;-3623.873;-4655.779
Niobium;53.3;2477.0;1844.848;21;17;flu;temp;temp;temp;-8468.925;972.671;490.167;1685.664
Steel - Chrome Nickel, 20% Cr, 15% Ni;15.1;1400.0;1002.348;26;31;flu;temp;temp;flu;-4660.875;-157.127;473.214;-1803.556
Steel - Manganese, 1% Mn;50.0;1460.0;546.987;9;28;flu;temp;flu;temp;-9722.507;574.623;9694.085;1333.779
Tantalum;57.4;3017.0;631.598;33;37;flu;temp;flu;temp;-4011.536;2391.562;-3397.282;108.065
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;107.913;27;48;flu;flu;flu;temp;-1227.176;1277.322;5825.217;526.225
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;783.014;17;20;flu;temp;temp;flu;-9333.799;135.795;-95.525;-4915.019
Aluminum - Silumin;164.0;577.0;202.88;11;16;flu;flu;temp;flu;5866.924;9766.881;111.079;5914.068
Cobalt;104.0;1495.0;401.065;45;42;flu;flu;temp;flu;7984.196;-9335.992;891.845;-6699.051
Aluminum alloy 3003, rolled;190.0;643.0;-65.113;43;19;flu;temp;temp;flu;5131.01;558.48;-114.429;7246.571
Steel - Nickel Chrome, 80% Ni, 15% Cr;17.0;1400.0;1133.693;13;33;temp;temp;flu;temp;790.589;1.179;-3745.647;300.08
Gold;318.0;1064.0;587.172;49;4;flu;flu;flu;flu;5980.422;675.452;-9916.073;2335.388
Steel - Nickel Chrome, 40% Ni, 15% Cr;11.6;1400.0;1066.872;1;33;flu;temp;temp;temp;7970.599;193.502;534.174;848.43
Nickel;94.0;1455.0;360.768;18;9;flu;temp;flu;flu;-9007.542;-171.88;5686.721;8593.138
Rubidium;58.3;39.3;-116.402;37;43;flu;temp;flu;temp;4219.597;-70.604;3480.715;-81.94
Steel - Chrome, 5% Cr;40.0;1480.0;1092.253;38;20;flu;flu;flu;temp;3655.283;6977.032;6145.391;114.265
Cadmium;97.5;321.0;235.781;10;46;flu;flu;temp;flu;7480.662;-1448.911;74.026;8258.604
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;-77.393;29;28;temp;temp;temp;temp;-85.61;619.598;621.699;825.588
Selenium;0.52;221.0;-56.097;25;12;temp;flu;flu;temp;139.725;-6666.286;4430.661;210.159
Steel - Nickel, 40% Ni;10.0;1450.0;679.96;28;47;temp;temp;temp;temp;-9.455;307.523;385.61;1079.621
Osmium;61.0;3033.0;1335.56;35;8;flu;temp;flu;temp;-822.93;521.84;-6577.773;926.765
Steel - Nickel, 10% Ni;26.0;1450.0;1203.567;34;2;temp;temp;flu;flu;1200.934;1228.538;-6737.358;7982.364
Copper - Cartridge Brass;120.0;920.0;207.685;5;28;flu;flu;temp;flu;5500.242;3326.543;756.962;9949.87
Platinum;71.5;1768.0;1407.812;47;29;temp;flu;flu;flu;424.072;-6633.397;740.778;-4670.539
Iron;83.5;1538.0;-49.848;0;47;flu;temp;temp;temp;6272.868;161.1;375.386;1173.764
Hastelloy C;12.0;1390.0;150.586;43;26;flu;temp;flu;flu;-5244.03;1022.189;-5272.084;-7245.775
Steel - Nickel, 60% Ni;19.0;1450.0;1409.154;30;48;flu;flu;temp;flu;-8992.836;-3050.079;1181.085;-3762.675
Osmium;61.0;3033.0;1717.733;37;20;temp;temp;flu;flu;38.283;561.633;3585.837;673.818
Incoloy;12.0;1390.0;508.202;23;26;temp;flu;temp;flu;704.218;9927.173;145.239;-2609.957
Platinum;71.5;1768.0;848.744;32;39;flu;flu;flu;temp;-6498.847;-7426.644;929.6;1214.993
Silicon;168.0;1414.0;138.245;39;8;flu;temp;flu;temp;-2657.453;153.358;-9773.987;661.769
Cesium;36.1;28.5;-2.258;12;27;temp;temp;flu;flu;-103.504;-25.385;7489.165;-3601.323
Tantalum;57.4;3017.0;1194.952;20;32;temp;temp;temp;flu;1347.689;848.469;2568.819;7830.585
Rhodium;151.0;1964.0;715.329;17;43;temp;temp;flu;flu;1712.532;102.942;-5059.61;-6703.748
Copper - Admiralty Brass;111.0;900.0;693.19;15;44;flu;flu;flu;temp;2998.04;-7147.92;-1524.598;701.272
Vanadium;31.3;1910.0;1105.178;13;32;temp;flu;temp;temp;1353.358;1728.473;1668.509;939.057
Plutonium;8.0;639.0;-57.148;2;25;flu;temp;temp;temp;-3765.763;445.308;181.774;80.201
Gold;318.0;1064.0;-34.363;24;4;flu;flu;flu;temp;7268.756;-1543.961;-332.915;528.402
Copper - German Silver (Maillechort);24.9;900.0;-10.462;7;4;temp;temp;temp;flu;173.893;436.237;352.875;6735.206
Copper - Brass (Yellow Brass);111.0;920.0;-15.97;2;8;flu;temp;flu;flu;8262.613;778.117;-6859.021;-8730.007
Steel - Hastelloy B;10.0;1390.0;508.406;48;10;temp;flu;flu;temp;579.203;-4384.637;-2569.292;674.839
Steel - Tungsten, 1% W;66.0;1450.0;593.814;11;0;flu;flu;flu;temp;2852.61;9756.96;6924.963;1335.413
Iridium;148.0;2446.0;428.065;16;29;temp;temp;temp;flu;-133.851;-125.321;-9.981;7247.091
Copper - Bronze (75% Cu, 25% Sn);26.0;950.0;4.839;16;24;temp;flu;flu;flu;-179.401;-5711.129;-6165.128;-5063.403
Steel - Stainless, Type 347;14.3;1400.0;531.794;15;8;flu;flu;flu;temp;-4701.729;-6153.546;1703.956;672.218
Aluminum bronze;70.0;1027.0;710.157;42;44;flu;temp;temp;flu;5055.494;117.74;166.794;-5208.278
Bismuth;8.2;271.0;161.558;48;15;temp;flu;temp;temp;106.279;-834.732;-11.366;29.232
Copper - Admiralty Brass;111.0;900.0;8.875;39;12;flu;temp;temp;flu;-7858.109;370.675;161.602;-2890.335
Tungsten;182.0;3422.0;265.259;17;31;flu;temp;flu;flu;9763.417;3238.135;-4298.622;9206.978
Gold;318.0;1064.0;900.498;28;26;flu;flu;flu;flu;-9957.493;-2814.197;-6342.255;5786.678
Boron;31.7;2076.0;461.333;26;8;temp;temp;flu;temp;1911.326;1152.149;412.122;1054.935
Steel - Manganese, 1% Mn;50.0;1460.0;784.649;40;2;temp;flu;flu;temp;-15.272;-1813.811;-9851.191;1220.889
Thorium;42.0;1750.0;764.918;22;2;flu;flu;flu;temp;6106.073;-1112.234;-646.661;1712.676
Solder 50-50;50.0;183.0;-75.273;4;28;flu;temp;temp;flu;-835.947;157.092;165.417;-4240.353
Potassium;104.0;63.5;-88.34;5;19;temp;temp;flu;flu;-57.606;-78.694;-8921.577;2731.129
Monel;26.0;1300.0;95.675;31;27;flu;temp;temp;temp;-5975.22;908.957;984.492;1215.754
Potassium;104.0;63.5;-153.107;2;20;temp;flu;temp;flu;-115.136;-9599.733;-56.49;-797.697
Copper - Cartridge Brass;120.0;920.0;131.636;27;25;flu;flu;flu;flu;-1144.062;-9255.214;6098.002;1271.405
Copper - Cartridge Brass;120.0;920.0;681.245;41;39;temp;temp;temp;temp;807.664;847.727;99.013;635.125
Boron;31.7;2076.0;859.323;41;46;flu;flu;flu;temp;4260.718;3204.687;7119.664;729.022
Copper - Aluminum Bronze (95% Cu, 5% Al);83.0;1027.0;842.183;2;49;flu;temp;temp;flu;9873.191;776.119;255.638;-5136.126
Steel - Chrome Nickel, 15% Cr, 10% Ni;19.0;1400.0;440.291;22;47;flu;temp;temp;temp;-2438.999;489.855;1040.964;1149.166
Palladium;75.5;1554.0;495.358;20;0;temp;temp;flu;temp;1084.052;1281.494;-1257.987;1380.688
Antimony;25.5;631.0;436.805;10;38;temp;temp;temp;temp;286.454;98.03;46.651;15.895
Aluminum - Silumin;164.0;577.0;560.719;47;22;flu;flu;flu;temp;-3577.298;-5179.695;-9592.559;402.615
Vanadium;31.3;1910.0;1025.289;27;31;flu;temp;temp;temp;9129.807;1406.159;1561.119;1118.735
Copper;401.0;1085.0;759.472;11;28;flu;flu;flu;temp;2125.326;2593.816;-6130.473;602.401
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;762.831;23;40;flu;flu;temp;flu;734.931;1399.285;122.265;-3355.461
Steel - Nickel, 20% Ni;19.0;1450.0;1066.305;23;32;temp;temp;flu;temp;1218.09;-117.626;-6613.336;1175.638
Manganese;7.68;1246.0;1089.951;30;42;flu;temp;temp;temp;7017.402;828.0;1229.337;1139.895
Tungsten;182.0;3422.0;2159.744;33;15;temp;temp;flu;temp;1339.395;1224.522;2428.594;785.267
Cadmium;97.5;321.0;308.674;40;44;temp;flu;temp;flu;-88.31;4083.184;-36.631;-4790.673
Palladium;75.5;1554.0;1160.596;7;31;flu;flu;temp;temp;-6741.773;1192.062;694.136;835.593
Steel - Nickel, 20% Ni;19.0;1450.0;-192.068;38;14;flu;temp;temp;flu;9238.47;635.938;1281.653;4883.519
Selenium;0.52;221.0;-10.348;31;19;flu;flu;temp;temp;6216.031;9525.567;-74.71;16.353
Steel - Chrome, 1% Cr;61.0;1480.0;1364.076;2;32;temp;flu;temp;flu;1036.743;7508.065;817.513;2461.154
Aluminum alloy 2014, annealed;190.0;507.0;196.768;27;0;flu;flu;temp;flu;994.885;-2533.916;31.753;-8753.284
Aluminum;236.0;660.0;36.991;34;19;flu;flu;temp;flu;-6484.825;-6371.946;144.073;8888.831
Mercury;28.9;-39.0;-78.339;3;38;temp;temp;temp;temp;-81.278;-159.783;-141.093;-84.277
Silver;428.0;961.0;217.603;44;27;temp;temp;temp;flu;-47.661;-35.014;-174.58;-3693.808
Hastelloy C;12.0;1390.0;844.197;17;40;temp;temp;flu;flu;1234.333;115.547;2922.378;-3852.231
Sodium;135.0;97.8;61.532;7;47;flu;flu;temp;temp;-9804.777;3745.394;-167.466;-118.976
Silver;428.0;961.0;506.4;8;8;flu;temp;temp;flu;-4491.745;144.212;112.933;2077.89
Steel - Hastelloy B;10.0;1390.0;-184.846;33;18;temp;flu;flu;temp;-108.285;-5812.334;-1036.585;1347.626
Steel - Carbon, 1% C;43.0;1470.0;787.504;16;34;temp;temp;temp;temp;22.553;347.954;720.315;672.092
Copper;401.0;1085.0;-149.017;41;29;temp;flu;flu;temp;606.258;4280.13;-7374.801;466.129
Germanium;66.7;938.0;427.745;27;15;flu;temp;flu;temp;-868.874;174.749;8000.91;540.937
Osmium;61.0;3033.0;1944.972;44;44;flu;flu;flu;flu;-5750.186;-6646.157;-1715.026;6418.166
Rhenium;48.6;3180.0;1647.56;45;22;temp;temp;flu;temp;1440.34;1406.11;2589.842;2546.273
Lead;35.5;327.0;252.102;7;42;flu;flu;flu;flu;8367.76;7417.268;8196.701;-762.395
Vanadium;31.3;1910.0;476.249;36;49;flu;temp;flu;flu;329.772;652.392;7318.352;-1049.836
Copper - Constantan (60% Cu, 40% Ni);22.7;1200.0;216.343;29;4;temp;flu;flu;temp;-127.34;-5734.965;-5349.262;449.074
